Alabama 32.879587173066305,-86.8798828125 270
Alaska 64.99793920061401,-150.99609375 734
Arizona 34.0489281,-111.09373110000001 384
Arkansas 34.66062958023531,-92.095505275 280
California 35.53222622770337,-122.69531249999994 717
Colorado 39.13635178886716,-105.8109998703003 350
Connecticut 41.52502957323801,-72.586669921875 100
Delaware 39.05331810674133,-75.421142578125 80
DistrictOfColumbia 38.88889501576177,-77.0526123046875 40
Florida 26.863280626766265,-84.57275390625 500
Georgia 32.85121784871643,-83.07585634999998 260
Hawaii 19.8967662,-155.58278180000002 600
Idaho 45.56440322558508,-114.96176736250004 383
Illinois 40.566391838354185,-89.13485642499995 250
Indiana 40.27952566881288,-86.0888671875 212
Iowa 42.07402248675311,-93.62504575000003 320
Kansas 38.39460425467833,-98.35241056249998 320
Kentucky 37.405073750176946,-84.11132812500006 270
Louisiana 31.22219703210317,-92.021484375 270
Maine 45.19187712272209,-68.39078139999992 270
Maryland 39.0457549,-76.6412712 128
Massachusetts 42.3341603965038,-71.72301357187501 90
Michigan 44.22043832201828,-84.45978617499998 290
Minnesota 46.30619595196952,-94.29039198750002 325
Mississippi 32.63266024219129,-89.48641892500001 260
Missouri 38.171835987484926,-92.20536855625 280
Montana 46.8796822,-110.29664783124997 390
Nebraska 41.32774393866609,-99.59419591249997 350
Nevada 38.42489788673521,-116.15571712499997 350
NewHampshire 43.25789392398937,-71.46253201874998 80
NewJersey 39.73803983505575,-74.482565496875 80
NewMexico 34.5199402,-105.87009009999997 360
NewYork 41.80292542020942,-74.55525770625002 160
NorthCarolina 35.67037171347371,-79.15113563749998 200
NorthDakota 48.21459434848628,-100.43072283750007 340
Ohio 40.149095415427134,-82.64345112500007 220
Oklahoma 35.4675602,-97.01105650624999 260
Oregon 43.89789239125797,-120.41015625 290
Pennsylvania 41.022261689935945,-76.66817665100098 200
RhodeIsland 41.5800945,-71.4774291 55
SouthCarolina 33.598485996060504,-80.57046278125 185
SouthDakota 44.01693762784303,-100.09956700625003 310
Tennessee 35.66043879811305,-86.40466604999995 220
Texas 31.482676663738808,-98.49556310000003 490
Utah 39.28697538378366,-111.79685609999996 285
Vermont 43.96082633722533,-72.92940399999992 130
Virginia 37.099327269848146,-77.75601529375001 200
Washington 47.425044486762516,-120.52041203750002 225
WestVirginia 38.5976262,-80.45490259999997 195
Wisconsin 44.2269566148373,-88.94167639375001 200
Wyoming 43.172191530731396,-107.55395577500002 340
